ns=2;s=OPC_1.SPS-02/GR1906-2/Sperre;false;2019-03-21 14:13:23.939
ns=2;s=OPC_1.SPS-02/GR1906-2/Leistung_ist;400.0;2019-03-21 14:13:23.939
ns=2;s=OPC_1.SPS-02/GR1906-2/Spannung_ist;400.0;2019-03-21 14:13:23.939
ns=2;s=OPC_1.SPS-02/GR1906-2/Strom_ist;1.0;2019-03-21 14:13:23.939
ns=2;s=OPC_1.SPS-02/GR1906-2/Stoerung;false;2019-03-21 14:13:23.939
ns=2;s=OPC_1.SPS-02/GR1906-2/Reinigen;false;2019-03-21 14:13:23.939
ns=2;s=OPC_1.SPS-02/GR1906-2/Ruesten;false;2019-03-21 14:13:23.939
ns=2;s=OPC_1.SPS-02/GR1906-2/Auftr_Mangel;true;2019-03-21 14:13:23.939
ns=2;s=OPC_1.SPS-02/GR1906-2/Produktion;false;2019-03-21 14:13:23.939
ns=2;s=OPC_1.SPS-01/Connected;false;2019-03-25 16:29:11.680
ns=2;s=OPC_1.SPS-01/WriteItemCount;3;2019-03-25 08:37:32.864
ns=2;s=OPC_1.SPS-01/WriteComplete;1;2019-03-25 08:37:32.864
ns=2;s=OPC_1.SPS-01/ConnectionType;S7 - TCP/IP;2019-03-21 14:13:24.001
ns=2;s=OPC_1._System/SessionID;3571445032;2019-03-21 13:51:18.021
ns=2;s=OPC_1.Festo_Lager/Connected;false;2019-03-25 16:30:31.165
ns=2;s=OPC_1.Festo_Lager/WriteItemCount;0;2019-03-21 14:13:24.001
ns=2;s=OPC_1.Festo_Lager/WriteComplete;1;2019-03-21 14:13:24.001
ns=2;s=OPC_1.Festo_Lager/ConnectionType;S7 - TCP/IP;2019-03-21 14:13:24.001
ns=2;s=OPC_1.Festo_Bohren/Connected;false;2019-03-25 16:30:05.763
ns=2;s=OPC_1.Festo_Bohren/WriteItemCount;0;2019-03-21 14:13:24.001
ns=2;s=OPC_1.Festo_Bohren/WriteComplete;1;2019-03-21 14:13:24.001
